mod,biome_id,biome_name,description,description_source,id_source
BIOMES_O_PLENTY,biomesoplenty:aspen_glade,Aspen Glade,A cool grove biome centered on aspen trees and light undergrowth; present in the installed 1.21.1 BOP jar.,https://github.com/Glitchfiend/BiomesOPlenty,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.1/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:auroral_garden,Auroral Garden,A biome full of rainbow birch and fir trees. The grass is frosted and icy irises spawn here. No hostile mobs spawn here either.,https://biomesoplenty.fandom.com/wiki/Auroral_Garden,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:bayou,Bayou,"A murky biome with willow trees, based on wetlands from the southern USA. Cattails also spawn around the shore, and ferns cover the ground.",https://biomesoplenty.fandom.com/wiki/Bayou,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:bog,Bog,"A biome based on the Cranberry Bog. It has lots of bush plants, maple and spruce scrub, as well as reeds.",https://biomesoplenty.fandom.com/wiki/Bog,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:cold_desert,Cold Desert,"A wasteland comprised of gravel and powder snow. Some desert grass spawns here, but no passive mobs do.",https://biomesoplenty.fandom.com/wiki/Cold_Desert,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:coniferous_forest,Coniferous Forest,"A forest comprised of tall fir trees. Toadstools and various vanilla flowers such as dandelions, cornflowers and poppies litter the surface.",https://biomesoplenty.fandom.com/wiki/Coniferous_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:crag,Crag,"Variant biome of the highland with cobblestone, andesite, and stone mixed into the grassy surface. It also has steeper and more jagged terrain.",https://biomesoplenty.fandom.com/wiki/Crag,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:crystalline_chasm,Crystalline Chasm,"A biome with frequent rose quartz spires and crystals covering the landscape, and a pink fog color.",https://biomesoplenty.fandom.com/wiki/Crystalline_Chasm,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:dead_forest,Dead Forest,"A sparsely populated forest, with mainly dead trees and spruce trees. Not much grass spawns in this biome either, and no passive mobs spawn.",https://biomesoplenty.fandom.com/wiki/Dead_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:dryland,Dryland,"A dry landscape with brush oak trees and bushes. Bush plants also cover the surface, and the ground is comprised of both sand and grass blocks.",https://biomesoplenty.fandom.com/wiki/Dryland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:dune_beach,Dune Beach,"A vanilla beach biome, but covered in dune grass and sea oats. Rooted sand occasionally replaces the sand in the biome.",https://biomesoplenty.fandom.com/wiki/Dune_Beach,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:end_corruption,End Corruption,"A corrupt biome with patches of missing textures, chunks of random ones, and obsidian towers scattered throughout.",https://biomesoplenty.fandom.com/wiki/End_Corruption,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:end_reef,End Reef,"A dull ocean-like biome with floating Wispjelly and tons of dead coral, white sand, and barnacles.",https://biomesoplenty.fandom.com/wiki/End_Reef,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:end_wilds,End Wilds,"A lush, mystical field, full of plant life and Empyreal Trees growing under Algal End Stone.",https://biomesoplenty.fandom.com/wiki/End_Wilds,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:erupting_inferno,Erupting Inferno,"An active volcanic biome made of brimstone, with magma blocks, lava and brimstone fumaroles generating.",https://biomesoplenty.fandom.com/wiki/Erupting_Inferno,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:field,Field,"A pretty flatland with small spruce trees and oak bushes, and a variety of flowers including lilacs, rose bushes and sunflowers.",https://biomesoplenty.fandom.com/wiki/Field,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:fir_clearing,Fir Clearing,Variant of the coniferous forest with sparsely spread small fir trees.,https://biomesoplenty.fandom.com/wiki/Fir_Clearing,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:floodplain,Floodplain,"A lush wetland with watergrass, orange cosmos, lily pads, and small dripleaves. Brush oaks and bushes spawn here as well.",https://biomesoplenty.fandom.com/wiki/Floodplain,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:forested_field,Forested Field,Variant of the Field with more trees and less flowers.,https://biomesoplenty.fandom.com/wiki/Forested_Field,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:grassland,Grassland,A temperate open-grass biome from the installed 1.21.1 BOP jar; useful as a broad non-forest meadow analog.,https://github.com/Glitchfiend/BiomesOPlenty,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.1/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:fungal_jungle,Fungal Jungle,"A rainforest comprised of toadstools and huge toadstools, with a fungal green sky color. Jungle trees also spawn here.",https://biomesoplenty.fandom.com/wiki/Fungal_Jungle,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:glowing_grotto,Glowing Grotto,"A cave biome covered in Glowing Moss and Glowshrooms, similar to Lush Caves.",https://biomesoplenty.fandom.com/wiki/Glowing_Grotto,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:gravel_beach,Gravel Beach,"Gravel Beach is a gravel-dominated shoreline biome with occasional shipwrecks and pools of water, and very little vegetation.",https://biomesoplenty.fandom.com/wiki/Gravel_Beach,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:highland,Highland,An elevated plains biome with lots of tall grass and grass.,https://biomesoplenty.fandom.com/wiki/Highland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:hot_springs,Hot Springs,The Hot Springs biome consists of Pine and Spruce trees. Thermal Calcite borders the water.,https://biomesoplenty.fandom.com/wiki/Hot_Springs,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:jacaranda_glade,Jacaranda Glade,A warm flowering grove centered on jacaranda trees; present in the installed 1.21.1 BOP jar and a good analog for humid subtropical broadleaf regions.,https://github.com/Glitchfiend/BiomesOPlenty,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.1/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:jade_cliffs,Jade Cliffs,A densely forested mountainous biome with spruce trees and bushes. A green sky is present in this biome aswell.,https://biomesoplenty.fandom.com/wiki/Jade_Cliffs,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:lavender_field,Lavender Field,"A field smothered in lavender. Jacaranda trees, and less commonly, flowering oak trees, generate in this biome.",https://biomesoplenty.fandom.com/wiki/Lavender_Field,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:lush_desert,Lush Desert,"A lush version of the desert made of orange sand, with dune grass, desert grass and dead grass generating. Acacia brush trees and shrubs also spawn here.",https://biomesoplenty.fandom.com/wiki/Lush_Desert,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:lush_savanna,Lush Savanna,A vast field of poppies and rose bushes. Coarse dirt and grass make up the ground in this biome. No trees spawn here.,https://biomesoplenty.fandom.com/wiki/Lush_Savanna,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:maple_woods,Maple Woods,"A maple forest, also containing spruce trees. Some flowers, such as violets, dandelions and poppies spawn here as well.",https://biomesoplenty.fandom.com/wiki/Maple_Woods,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:marsh,Marsh,A wide plain with lots of shallow lakes filled with watergrass and reeds. No trees or flowers spawn here.,https://biomesoplenty.fandom.com/wiki/Marsh,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:mediterranean_forest,Mediterranean Forest,"A forest with pear-shaped trees, flowering oak bushes, bush plants and peonies. Calcite spawns instead of normal blocks underwater. Podzol occasionally replaces grass blocks for the surface.",https://biomesoplenty.fandom.com/wiki/Mediterranean_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:moor,Moor,"Variant of the highland with lots of violets, alliums, and occasional patches of oak leaves.",https://biomesoplenty.fandom.com/wiki/Highland_Moor,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:muskeg,Muskeg,"An icy wetland with tall dead trees, ferns and grass. Lakes spawn frequently in this bleak biome.",https://biomesoplenty.fandom.com/wiki/Muskeg,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:mystic_grove,Mystic Grove,"A magical forest with magic, jacaranda, flowering oak, dark oak, and huge red mushrooms. Lots of flowers, such as glowflowers, blue hydrangeas and pink daffodils spawn here.",https://biomesoplenty.fandom.com/wiki/Mystic_Grove,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:old_growth_dead_forest,Old Growth Dead Forest,Variant biome of the dead forest with more and taller dead trees.,https://biomesoplenty.fandom.com/wiki/Old_Growth_Dead_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:old_growth_woodland,Old Growth Woodland,Variant biome of the woodland with larger and more trees.,https://biomesoplenty.fandom.com/wiki/Old_Growth_Woodland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:ominous_woods,Ominous Woods,A spooky forest with tall purple umbran trees and wither roses. Bramble also spawns in the forest. It has an ominous sky and water color.,https://biomesoplenty.fandom.com/wiki/Ominous_Woods,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:orchard,Orchard,"A lush sparse forest with flowering oak trees. Rose bushes, sprouts, dandelions, poppies and oxeye daisies spawn in this biome.",https://biomesoplenty.fandom.com/wiki/Orchard,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:origin_valley,Origin Valley,"A biome resembling alpha Minecraft, with the characteristic grass and leaf colors, as well as roses which were removed in 1.7.",https://biomesoplenty.fandom.com/wiki/Origin_Valley,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:overgrown_greens,Overgrown Greens,"A grassy, lush biome characterized by Huge Clover and High Grass.",https://biomesoplenty.fandom.com/wiki/Overgrown_Greens,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:pasture,Pasture,"Variant biome of the prairie, featuring no trees or goldenrods, and lots of barley covers the surface.",https://biomesoplenty.fandom.com/wiki/Pasture,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:prairie,Prairie,"A flat yellow plain with large brush oaks, tall grass, and frequent goldenrods covering the surface.",https://biomesoplenty.fandom.com/wiki/Prairie,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:pumpkin_patch,Pumpkin Patch,"Variant biome of the seasonal forest, featuring only orange autumn trees, and lots of pumpkins and huge pumpkins. Jack o' lanterns even spawn here less commonly.",https://biomesoplenty.fandom.com/wiki/Pumpkin_Patch,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:rainforest,Rainforest,"A jungle biome full of mahogany trees. Small and big dripleaves and orange cosmos flowers cover the surface, as well as seagrass and watergrass in the water. Surface of the water can have lilypads.",https://biomesoplenty.fandom.com/wiki/Rainforest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:redwood_forest,Redwood Forest,A forest biome chock full of towering redwood trees and ferns. The ground is mostly made up of podzol besides sparse patches of moss blocks.,https://biomesoplenty.fandom.com/wiki/Redwood_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:rocky_rainforest,Rocky Rainforest,"A lush, bright jungle featuring large swaths of colorful terracotta resembling mineral deposits in the ground. Trees are short and small.",https://biomesoplenty.fandom.com/wiki/Rocky_Rainforest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:rocky_shrubland,Rocky Shrubland,A variant of the Shrubland biome cut with patches of exposed stone.,https://biomesoplenty.fandom.com/wiki/Rocky_Shrubland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:scrubland,Scrubland,A vibrant green prairie biome dotted with single leaf block shrubs and blanketed in short grass. Wildflowers spawn commonly in patches here.,https://biomesoplenty.fandom.com/wiki/Scrubland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:seasonal_forest,Seasonal Forest,"A brightly colored autumnal forest biome with red, orange, and yellow Maple Trees. The ground is scattered with Maple Leaf Piles and occasional patches of Toadstools.",https://biomesoplenty.fandom.com/wiki/Seasonal_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:shrubland,Shrubland,"A flat, warm, grassy biome speckled with short shrublike oak trees. Allium and lilac spawn frequently in patches in this biome.",https://biomesoplenty.fandom.com/wiki/Shrubland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:snowblossom_grove,Snowblossom Grove,Very similar to the vanilla Cherry Grove biome. Snowblossom trees consist of cherry wood and snowblossom leaves. White petals take the place of pink petals.,https://biomesoplenty.fandom.com/wiki/Snowblossom_Grove,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:snowy_coniferous_forest,Snowy Coniferous Forest,A snowy variant of the Coniferous Forest. Toadstools litter the undergrowth in this biome alongside small patches of wildflowers.,https://biomesoplenty.fandom.com/wiki/Snowy_Coniferous_Forest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:snowy_fir_clearing,Snowy Fir Clearing,"A snowy, open biome dotted with Fir Trees.",https://biomesoplenty.fandom.com/wiki/Snowy_Fir_Clearing,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:snowy_maple_woods,Snowy Maple Woods,"A snowy, forested biome, populated by a mix of red Maple and dark green spruce trees. Ferns, short grass, and red Maple Leaf Piles are the only ground cover here.",https://biomesoplenty.fandom.com/wiki/Snowy_Maple_Woods,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:spider_nest,Spider Nest,"Description is not provided on the Fandom Biomes List page (listed as ???), and the biome page currently lacks a stable descriptive paragraph.",https://biomesoplenty.fandom.com/wiki/Spider_Nest,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:tropics,Tropics,"A warm, lush coastal biome with palm trees, melons, and some flowers and shrubs. One of the few biomes where White Sand can be found.",https://biomesoplenty.fandom.com/wiki/Tropics,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:tundra,Tundra,A dry and barren biome with red grass and occasional small shrubs. Cobblestone dots the landscape. No real trees spawn here.,https://biomesoplenty.fandom.com/wiki/Tundra,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:undergrowth,Undergrowth,"A densely occupied nether biome, with sprouts, bramble and hellbark trees around the biome. Spore particles spawn here.",https://biomesoplenty.fandom.com/wiki/Undergrowth,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:visceral_heap,Visceral Heap,"A gross biome made of flesh and porous flesh, with hair, pus bubbles and flesh tendons. Giant flesh strands spawn frequently here.",https://biomesoplenty.fandom.com/wiki/Visceral_Heap,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:volcanic_plains,Volcanic Plains,A biome that consists of black sand and some shrubs. No trees spawn here.,https://biomesoplenty.fandom.com/wiki/Volcanic_Plains,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:volcano,Volcano,"A rare biome consisting of Black Sand, basalt, magma blocks, and enormous pools of surface lava.",https://biomesoplenty.fandom.com/wiki/Volcano,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:wasteland,Wasteland,"A dry, dead biome with terrain made of Dried Salt blocks. Features some sparse dead trees.",https://biomesoplenty.fandom.com/wiki/Wasteland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:wasteland_steppe,Wasteland Steppe,Wasteland Steppe is a higher-elevation variant of Wasteland: a harsh dried-salt biome with dead trees and sparse dead/desert grass.,https://biomesoplenty.fandom.com/wiki/Wasteland_Steppe,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:wetland,Wetland,"A wet, marshy biome with a blue tint to the grass and leaves. Mud lines the banks, and Cattails and Reeds are common here.",https://biomesoplenty.fandom.com/wiki/Wetland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:wintry_origin_valley,Wintry Origin Valley,Wintry Origin Valley is a snowy variant of Origin Valley that evokes Minecraft Alpha winter mode and commonly generates near frozen oceans.,https://biomesoplenty.fandom.com/wiki/Wintry_Origin_Valley,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:withered_abyss,Withered Abyss,"A dark and spooky biome made of blackstone, obsidian and crying obsidian, with blackstone bulbs and spines generating around the landscape.",https://biomesoplenty.fandom.com/wiki/Withered_Abyss,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
BIOMES_O_PLENTY,biomesoplenty:woodland,Woodland,"A welcoming oak forest biome rich with both large and small flowers. Fallen oak logs speckle the landscape, and passive mobs are plentiful.",https://biomesoplenty.fandom.com/wiki/Woodland,https://github.com/Glitchfiend/BiomesOPlenty/tree/1.21.11/common/src/generated/resources/data/biomesoplenty/worldgen/biome
